	SampleID	Phylum	RA	Comparts	TreatmentID	Treatment
211	ExsC4	Firmicutes	0.917431193	Seed_endosphere	Xs4	Xs
212	ExsC4	Bacteroidetes	0.114678899	Seed_endosphere	Xs4	Xs
213	ExsC4	Acidobacteria	0	Seed_endosphere	Xs4	Xs
214	ExsC4	Ignavibacteriae	0	Seed_endosphere	Xs4	Xs
215	ExsC4	Nitrospirae	0	Seed_endosphere	Xs4	Xs
216	ExsC4	Low_Abundance	0.344036697	Seed_endosphere	Xs4	Xs
217	ExsC5	Gammaproteobacteria	13.64678899	Seed_endosphere	Xs5	Xs
218	ExsC5	Betaproteobacteria	2.52293578	Seed_endosphere	Xs5	Xs
219	ExsC5	Actinobacteria	82.11009174	Seed_endosphere	Xs5	Xs
220	ExsC5	Alphaproteobacteria	1.720183486	Seed_endosphere	Xs5	Xs
221	ExsC5	Deltaproteobacteria	0	Seed_endosphere	Xs5	Xs
222	ExsC5	Gemmatimonadetes	0	Seed_endosphere	Xs5	Xs
223	ExsC5	Firmicutes	0	Seed_endosphere	Xs5	Xs
224	ExsC5	Bacteroidetes	0	Seed_endosphere	Xs5	Xs
225	ExsC5	Acidobacteria	0	Seed_endosphere	Xs5	Xs
226	ExsC5	Ignavibacteriae	0	Seed_endosphere	Xs5	Xs
227	ExsC5	Nitrospirae	0	Seed_endosphere	Xs5	Xs
228	ExsC5	Low_Abundance	0	Seed_endosphere	Xs5	Xs
